movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
AvatarÂ ,723,178,0,855,1000,760505847,886204,4834,0,3054,237000000,936,7.9,33000
Pirates of the Caribbean: At World's EndÂ ,302,169,563,1000,40000,309404152,471220,48350,0,1238,300000000,5000,7.1,0
SpectreÂ ,602,148,0,161,11000,200074175,275868,11700,1,994,245000000,393,6.8,85000
The Dark Knight RisesÂ ,813,164,22000,23000,27000,448130642,1144337,106759,0,2701,250000000,23000,8.5,164000
John CarterÂ ,462,132,475,530,640,73058679,212204,1873,1,738,263700000,632,6.6,24000
Spider-Man 3Â ,392,156,0,4000,24000,336530303,383056,46055,0,1902,258000000,11000,6.2,0
TangledÂ ,324,100,15,284,799,200807262,294810,2036,1,387,260000000,553,7.8,29000
Avengers: Age of UltronÂ ,635,141,0,19000,26000,458991599,462669,92000,4,1117,250000000,21000,7.5,118000
Harry Potter and the Half-Blood PrinceÂ ,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,11000,7.5,10000
Batman v Superman: Dawn of JusticeÂ ,673,183,0,2000,15000,330249062,371639,24450,0,3018,250000000,4000,6.9,197000
Superman ReturnsÂ ,434,169,0,903,18000,200069408,240396,29991,0,2367,209000000,10000,6.1,0
Quantum of SolaceÂ ,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,412,6.7,0
Pirates of the Caribbean: Dead Man's ChestÂ ,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,5000,7.3,5000
The Lone RangerÂ ,450,150,563,1000,40000,89289910,181792,45757,1,711,215000000,2000,6.5,48000
Man of SteelÂ ,733,143,0,748,15000,291021565,548573,20495,0,2536,225000000,3000,7.2,118000
The Chronicles of Narnia: Prince CaspianÂ ,258,150,80,201,22000,141614023,149922,22697,4,438,225000000,216,6.6,0
The AvengersÂ ,703,173,0,19000,26000,623279547,995415,87697,3,1722,220000000,21000,8.1,123000
Pirates of the Caribbean: On Stranger TidesÂ ,448,136,252,1000,40000,241063875,370704,54083,4,484,250000000,11000,6.7,58000
Men in Black 3Â ,451,106,188,718,10000,179020854,268154,12572,1,341,225000000,816,6.8,40000
